IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
47.76.178.146	2083	TRUE	HKG	Asia Pacific	Hong Kong	67 ms	20937 kB/s
47.243.90.180	2053	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	20051 kB/s
47.238.40.58	2087	TRUE	HKG	Asia Pacific	Hong Kong	57 ms	13906 kB/s
47.238.40.58	2053	TRUE	HKG	Asia Pacific	Hong Kong	56 ms	13100 kB/s
47.76.77.103	2053	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	11213 kB/s
47.76.178.146	8443	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	11166 kB/s
47.243.90.180	2096	TRUE	HKG	Asia Pacific	Hong Kong	279 ms	10801 kB/s
47.76.159.146	2083	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	9586 kB/s
47.76.159.146	2087	TRUE	HKG	Asia Pacific	Hong Kong	74 ms	8991 kB/s
8.222.214.231	2087	TRUE	SIN	Asia Pacific	Singapore	223 ms	8068 kB/s
47.76.204.76	2053	TRUE	HKG	Asia Pacific	Hong Kong	57 ms	7802 kB/s
47.76.178.146	2087	TRUE	HKG	Asia Pacific	Hong Kong	73 ms	7741 kB/s
47.76.178.146	2096	TRUE	HKG	Asia Pacific	Hong Kong	68 ms	7516 kB/s
47.236.145.85	8443	TRUE	SIN	Asia Pacific	Singapore	282 ms	7458 kB/s
8.219.60.54	2083	TRUE	SIN	Asia Pacific	Singapore	210 ms	7243 kB/s
47.76.77.103	2087	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	7138 kB/s
8.219.177.205	2053	TRUE	SIN	Asia Pacific	Singapore	226 ms	6349 kB/s
47.76.204.76	2083	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	6305 kB/s
47.76.204.76	2087	TRUE	HKG	Asia Pacific	Hong Kong	58 ms	6282 kB/s
47.236.167.231	2083	TRUE	SIN	Asia Pacific	Singapore	224 ms	5819 kB/s
47.76.77.103	2096	TRUE	HKG	Asia Pacific	Hong Kong	57 ms	5799 kB/s
47.76.159.146	8443	TRUE	HKG	Asia Pacific	Hong Kong	68 ms	5538 kB/s
8.219.1.92	2053	TRUE	SIN	Asia Pacific	Singapore	241 ms	5525 kB/s
8.219.139.13	2083	TRUE	SIN	Asia Pacific	Singapore	249 ms	5499 kB/s
8.219.191.40	2096	TRUE	SIN	Asia Pacific	Singapore	239 ms	5476 kB/s
8.219.174.213	2096	TRUE	SIN	Asia Pacific	Singapore	222 ms	5474 kB/s
47.236.202.91	2053	TRUE	SIN	Asia Pacific	Singapore	242 ms	5440 kB/s
47.76.178.146	2053	TRUE	HKG	Asia Pacific	Hong Kong	73 ms	5366 kB/s
47.237.100.206	2087	TRUE	SIN	Asia Pacific	Singapore	222 ms	5200 kB/s
8.219.110.81	2096	TRUE	SIN	Asia Pacific	Singapore	224 ms	5135 kB/s
8.219.6.150	8443	TRUE	SIN	Asia Pacific	Singapore	214 ms	4851 kB/s
8.219.194.170	8443	TRUE	SIN	Asia Pacific	Singapore	284 ms	4784 kB/s
47.236.237.90	2053	TRUE	SIN	Asia Pacific	Singapore	251 ms	4733 kB/s
8.219.194.170	2087	TRUE	SIN	Asia Pacific	Singapore	218 ms	4069 kB/s
47.238.164.202	443	TRUE	HKG	Asia Pacific	Hong Kong	53 ms	3914 kB/s
8.219.60.54	2053	TRUE	SIN	Asia Pacific	Singapore	237 ms	3908 kB/s
47.236.158.158	8443	TRUE	SIN	Asia Pacific	Singapore	236 ms	3843 kB/s
47.237.8.82	2083	TRUE	SIN	Asia Pacific	Singapore	270 ms	3822 kB/s
8.217.90.154	443	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	3819 kB/s
8.222.162.45	2087	TRUE	SIN	Asia Pacific	Singapore	237 ms	3818 kB/s
8.217.132.184	443	TRUE	HKG	Asia Pacific	Hong Kong	57 ms	3643 kB/s
8.219.83.201	2087	TRUE	SIN	Asia Pacific	Singapore	238 ms	3359 kB/s
47.237.84.173	2083	TRUE	SIN	Asia Pacific	Singapore	237 ms	2921 kB/s
47.76.94.15	2083	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	2803 kB/s
47.236.170.225	2096	TRUE	SIN	Asia Pacific	Singapore	245 ms	2652 kB/s
47.76.94.15	2053	TRUE	HKG	Asia Pacific	Hong Kong	72 ms	2450 kB/s
47.243.234.9	2053	TRUE	HKG	Asia Pacific	Hong Kong	56 ms	2306 kB/s
47.243.234.9	2096	TRUE	HKG	Asia Pacific	Hong Kong	57 ms	2167 kB/s
47.76.146.1	2053	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	2050 kB/s
